CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2383,F2384
,,,,,Population (usual residents) : Density (number of persons per Hectare) - Unit : Persons,Population (usual residents) : All usual residents - Unit : Persons
1,K02000001,United Kingdom,Countries and Groupings,CTRY,2.6,63182178
10888,E02000984,Bolton 001,Middle Super Output Areas and Intermediate Zones,MSOAIZ,9.852005,7782
10889,E02000985,Bolton 002,Middle Super Output Areas and Intermediate Zones,MSOAIZ,20.46893,7569
10890,E02000986,Bolton 003,Middle Super Output Areas and Intermediate Zones,MSOAIZ,43.49974,8365
10891,E02000987,Bolton 004,Middle Super Output Areas and Intermediate Zones,MSOAIZ,46.02149,7195
10892,E02000988,Bolton 005,Middle Super Output Areas and Intermediate Zones,MSOAIZ,43.0841,8407
10893,E02000989,Bolton 006,Middle Super Output Areas and Intermediate Zones,MSOAIZ,9.811905,8242
10894,E02000990,Bolton 007,Middle Super Output Areas and Intermediate Zones,MSOAIZ,8.089498,7636
10895,E02000991,Bolton 008,Middle Super Output Areas and Intermediate Zones,MSOAIZ,11.04227,7682
10896,E02000992,Bolton 009,Middle Super Output Areas and Intermediate Zones,MSOAIZ,6.546702,5781
10897,E02000993,Bolton 010,Middle Super Output Areas and Intermediate Zones,MSOAIZ,39.28925,7142
10898,E02000994,Bolton 011,Middle Super Output Areas and Intermediate Zones,MSOAIZ,69.36629,7914
10899,E02000995,Bolton 012,Middle Super Output Areas and Intermediate Zones,MSOAIZ,14.13409,8163
10900,E02000996,Bolton 013,Middle Super Output Areas and Intermediate Zones,MSOAIZ,45.32834,7869
10901,E02000997,Bolton 014,Middle Super Output Areas and Intermediate Zones,MSOAIZ,5.509342,5676
10902,E02000998,Bolton 015,Middle Super Output Areas and Intermediate Zones,MSOAIZ,68.76098,8613
10903,E02000999,Bolton 016,Middle Super Output Areas and Intermediate Zones,MSOAIZ,23.0414,7435
10904,E02001000,Bolton 017,Middle Super Output Areas and Intermediate Zones,MSOAIZ,43.5829,9145
10905,E02001001,Bolton 018,Middle Super Output Areas and Intermediate Zones,MSOAIZ,41.25376,8101
10906,E02001002,Bolton 019,Middle Super Output Areas and Intermediate Zones,MSOAIZ,24.63228,9445
10907,E02001003,Bolton 020,Middle Super Output Areas and Intermediate Zones,MSOAIZ,18.52267,7277
10908,E02001004,Bolton 021,Middle Super Output Areas and Intermediate Zones,MSOAIZ,85.66379,8240
10909,E02001005,Bolton 022,Middle Super Output Areas and Intermediate Zones,MSOAIZ,31.52481,7937
