
"UK Business Counts - enterprises by industry and employment size band"
"ONS Crown Copyright Reserved [from Nomis on 27 June 2020]"
"Analysis   :","standard"
"Date       :","2019"
"Employment Sizeband:","Total"
"Legal Status:","Total"

"Area","mnemonic","1 : Agriculture, forestry & fishing (A)","2 : Mining, quarrying & utilities (B,D and E)","3 : Manufacturing (C)","4 : Construction (F)","5 : Motor trades (Part G)","6 : Wholesale (Part G)","7 : Retail (Part G)","8 : Transport & storage (inc postal) (H)","9 : Accommodation & food services (I)","10 : Information & communication (J)","11 : Financial & insurance (K)","12 : Property (L)","13 : Professional, scientific & technical (M)","14 : Business administration & support services (N)","15 : Public administration & defence (O)","16 : Education (P)","17 : Health (Q)","18 : Arts, entertainment, recreation & other services (R,S,T and U)"

"ualad09:Manchester","E08000003",15,75,715,1445,385,1250,4190,670,1520,1890,530,1110,4330,1930,5,355,965,1255
"msoa2011:Bolton 034","E02001017",5,0,20,60,20,20,25,15,15,15,0,5,30,20,0,5,10,15
"msoa2011:Bury 004","E02001022",5,0,10,35,15,5,15,10,5,15,5,5,30,20,0,5,5,15
"msoa2011:Bury 005","E02001023",0,0,10,25,5,5,10,10,5,5,0,5,20,10,0,0,10,5
"msoa2011:Bury 007","E02001025",5,0,30,120,15,15,15,270,15,15,5,10,30,95,0,0,10,15
"msoa2011:Bury 008","E02001026",0,5,35,65,55,45,120,400,55,35,20,15,75,80,0,10,35,55
"msoa2011:Bury 009","E02001027",0,5,30,35,20,15,25,10,20,10,0,10,30,15,0,5,5,15
"msoa2011:Bury 011","E02001029",0,0,5,20,10,15,30,10,30,20,25,30,70,35,0,10,35,30
"msoa2011:Bury 013","E02001031",0,0,20,45,10,35,30,10,10,10,75,55,40,30,0,5,10,20
"msoa2011:Bury 014","E02001032",5,0,10,35,0,5,10,10,5,5,5,0,5,10,0,0,5,10
"msoa2011:Bury 015","E02001033",0,0,25,15,15,10,15,15,10,5,0,5,20,20,0,0,10,10
"msoa2011:Bury 016","E02001034",5,0,20,35,20,15,35,35,25,10,10,10,30,30,0,5,20,30
"msoa2011:Bury 017","E02001035",0,0,10,30,5,10,30,15,15,20,0,10,40,25,0,0,5,20
"msoa2011:Bury 018","E02001036",5,0,10,25,10,10,15,5,10,10,5,5,20,10,0,5,5,10
"msoa2011:Bury 019","E02001037",5,5,5,30,5,25,25,5,20,25,10,25,90,25,0,5,25,25
"msoa2011:Bury 020","E02001038",0,0,10,60,0,55,60,170,50,10,5,15,30,65,0,0,10,20
"msoa2011:Bury 021","E02001039",0,0,5,25,5,5,5,10,5,10,0,0,20,15,0,0,5,5
"msoa2011:Bury 022","E02001040",5,0,10,25,0,5,20,5,15,25,5,5,25,15,0,10,5,15
"msoa2011:Bury 023","E02001041",0,0,5,25,5,10,25,10,20,20,5,10,40,15,0,5,15,20
"msoa2011:Bury 024","E02001042",0,0,20,120,10,20,45,10,35,30,10,75,80,40,0,5,20,25
"msoa2011:Bury 025","E02001043",0,0,10,15,0,5,5,5,0,15,0,0,20,15,0,5,5,5
"msoa2011:Bury 026","E02001044",0,0,15,65,10,30,120,10,15,35,15,100,75,85,0,20,30,25
"msoa2011:Cheshire East 002","E02003854",5,0,15,25,5,10,10,10,5,15,5,10,65,25,0,5,10,10
"msoa2011:Cheshire East 003","E02003855",5,0,10,35,10,10,30,5,25,25,10,15,85,30,0,5,15,25
"msoa2011:Cheshire East 004","E02003856",0,0,30,40,20,25,25,15,25,45,30,15,125,60,0,15,30,40
"msoa2011:Cheshire East 005","E02003857",0,0,10,30,5,10,15,5,5,30,5,5,75,25,0,5,10,20
"msoa2011:Cheshire East 006","E02003858",0,5,15,65,5,25,55,10,50,80,35,60,250,95,0,15,60,65
"msoa2011:Cheshire East 007","E02003859",180,5,30,125,35,50,50,15,45,60,15,65,205,110,5,15,30,75
"msoa2011:Cheshire East 008","E02003860",10,0,10,30,5,10,20,5,10,50,5,15,105,40,0,5,15,45
"msoa2011:Cheshire East 011","E02003862",35,0,25,50,15,35,25,5,25,30,20,40,105,40,0,5,10,30
"msoa2011:Manchester 001","E02001045",0,0,5,15,5,0,20,15,10,10,0,0,15,5,0,5,5,10
"msoa2011:Manchester 002","E02001046",0,0,5,30,5,5,25,15,10,10,0,5,20,15,0,0,25,10
"msoa2011:Manchester 003","E02001047",0,0,10,25,0,5,15,15,25,10,0,5,15,15,0,0,5,15
"msoa2011:Manchester 004","E02001048",0,0,10,15,5,15,25,15,10,10,0,20,30,15,0,5,10,15
"msoa2011:Manchester 005","E02001049",0,0,10,35,0,5,15,10,15,5,0,5,35,15,0,0,5,5
"msoa2011:Manchester 006","E02001050",0,0,5,10,5,5,15,10,5,10,0,5,15,15,0,0,20,10
"msoa2011:Manchester 007","E02001051",0,0,15,25,5,15,240,15,20,15,0,10,20,20,0,5,10,10
"msoa2011:Manchester 008","E02001052",0,0,10,30,10,40,135,35,20,85,5,10,100,50,0,15,25,25
"msoa2011:Manchester 009","E02001053",0,0,10,15,15,5,20,10,10,25,5,5,25,20,0,0,20,15
"msoa2011:Manchester 011","E02001055",0,5,20,20,15,25,35,15,25,25,5,10,35,35,0,5,15,10
"msoa2011:Manchester 012","E02001056",0,0,10,15,5,5,15,5,10,0,0,5,10,15,0,0,10,5
"msoa2011:Manchester 013","E02001057",0,0,25,20,10,40,40,15,20,35,10,15,75,25,0,5,20,30
"msoa2011:Manchester 015","E02001059",0,0,25,15,20,30,40,25,25,25,10,5,30,20,0,5,15,15
"msoa2011:Manchester 017","E02001061",0,0,15,20,15,35,45,10,20,5,5,5,20,20,0,0,15,15
"msoa2011:Manchester 018","E02001062",0,5,75,25,25,65,80,25,40,50,20,85,90,75,0,15,40,35
"msoa2011:Manchester 019","E02001063",0,0,5,5,0,5,20,5,20,50,5,5,40,20,0,5,25,25
"msoa2011:Manchester 020","E02001064",0,0,15,15,25,15,35,10,10,15,5,10,25,20,0,5,5,5
"msoa2011:Manchester 021","E02001065",0,0,5,15,10,0,20,10,15,5,0,0,20,10,0,0,10,5
"msoa2011:Manchester 022","E02001066",0,0,10,15,10,10,45,10,20,10,5,20,45,30,0,5,20,5
"msoa2011:Manchester 023","E02001067",0,0,5,20,10,10,30,10,5,10,0,0,20,15,0,0,20,10
"msoa2011:Manchester 024","E02001068",0,0,5,5,0,5,20,10,10,10,0,0,25,15,0,5,10,5
"msoa2011:Manchester 025","E02001069",0,0,5,15,0,10,45,10,45,15,0,35,20,10,0,5,10,15
"msoa2011:Manchester 026","E02001070",0,0,0,10,5,10,40,5,30,15,5,15,30,15,0,10,15,15
"msoa2011:Manchester 027","E02001071",0,5,10,20,25,25,95,20,25,20,5,15,45,30,0,5,15,15
"msoa2011:Manchester 028","E02001072",0,0,0,10,5,10,30,10,15,35,0,5,50,15,0,5,20,15
"msoa2011:Manchester 029","E02001073",0,0,15,15,10,15,40,5,50,60,0,20,90,20,0,5,20,25
"msoa2011:Manchester 030","E02001074",0,0,5,25,5,10,30,10,15,35,5,5,55,20,0,5,30,10
"msoa2011:Manchester 031","E02001075",0,5,10,15,10,5,45,10,40,25,0,15,50,20,0,5,20,15
"msoa2011:Manchester 032","E02001076",0,0,5,15,5,5,20,0,25,5,0,10,20,10,0,5,10,15
"msoa2011:Manchester 033","E02001077",0,0,10,15,10,10,15,5,20,45,0,10,75,25,0,10,25,30
"msoa2011:Manchester 034","E02001078",0,0,5,35,5,15,30,5,10,25,0,10,45,20,0,5,15,25
"msoa2011:Manchester 035","E02001079",0,0,10,15,5,5,15,5,10,15,5,0,30,10,0,0,10,5
"msoa2011:Manchester 036","E02001080",0,0,0,10,5,0,10,5,10,15,0,5,15,5,0,0,10,5
"msoa2011:Manchester 037","E02001081",0,0,5,10,0,5,25,5,20,40,0,10,80,20,0,5,10,20
"msoa2011:Manchester 038","E02001082",0,0,5,20,5,5,35,5,30,25,0,15,45,20,0,5,20,20
"msoa2011:Manchester 039","E02001083",0,0,5,15,0,10,25,5,30,35,5,5,65,30,0,5,15,30
"msoa2011:Manchester 040","E02001084",0,0,5,20,0,10,25,5,30,35,0,10,55,20,0,5,15,20
"msoa2011:Manchester 041","E02001085",0,0,5,15,0,10,15,10,10,5,0,0,15,15,0,5,10,15
"msoa2011:Manchester 042","E02001086",0,0,5,10,0,5,15,5,5,25,5,15,45,20,0,0,20,15
"msoa2011:Manchester 043","E02001087",0,0,15,30,0,10,35,0,40,60,5,35,135,55,0,10,35,35
"msoa2011:Manchester 044","E02001088",0,0,0,20,0,0,10,10,10,10,0,5,20,10,0,0,10,5
"msoa2011:Manchester 045","E02001089",0,0,10,45,5,15,20,5,20,35,15,20,85,85,0,5,25,25
"msoa2011:Manchester 046","E02001090",0,0,15,30,10,15,25,5,30,30,5,10,60,30,0,5,15,20
"msoa2011:Manchester 047","E02001091",0,0,10,15,0,5,15,10,5,20,0,5,30,20,0,5,10,10
"msoa2011:Manchester 048","E02001092",0,0,0,25,0,0,10,10,5,5,0,0,20,10,0,5,10,5
"msoa2011:Manchester 049","E02001093",0,0,15,10,5,10,15,20,5,20,5,5,35,10,0,0,15,10
"msoa2011:Manchester 050","E02001094",0,0,0,10,0,5,15,15,5,5,0,0,10,5,0,0,10,10
"msoa2011:Manchester 051","E02001095",0,0,15,25,5,20,25,20,15,10,5,5,10,20,0,0,10,10
"msoa2011:Manchester 052","E02001096",0,0,10,30,5,15,10,20,5,20,10,10,40,30,0,5,5,10
"msoa2011:Manchester 053","E02001097",0,0,5,25,0,10,15,40,20,15,15,5,30,25,0,5,15,5
"msoa2011:Manchester 054","E02006902",5,5,70,180,15,75,185,15,235,225,135,185,865,250,0,40,65,265
"msoa2011:Manchester 055","E02006912",0,10,55,105,10,95,2025,30,190,255,70,170,420,295,0,45,40,120
"msoa2011:Manchester 056","E02006913",0,0,35,20,10,95,80,15,30,30,5,30,60,40,0,5,20,20
"msoa2011:Manchester 057","E02006914",0,0,5,25,0,5,15,5,25,35,10,10,50,40,0,10,5,20
"msoa2011:Manchester 058","E02006915",0,0,35,35,15,315,170,20,30,25,5,45,55,55,0,5,15,40
"msoa2011:Manchester 059","E02006916",0,0,5,45,5,5,20,5,5,45,15,20,55,20,0,5,5,15
"msoa2011:Manchester 060","E02006917",0,20,20,90,5,35,35,10,70,135,100,110,805,150,0,20,40,55
"msoa2011:Oldham 001","E02001098",5,0,5,25,0,0,10,5,5,5,0,0,15,15,0,0,5,10
