
"UK Business Counts - enterprises by industry and employment size band"
"ONS Crown Copyright Reserved [from Nomis on 27 June 2020]"
"Analysis   :","standard"
"Date       :","2019"
"Industry   :","Total"
"Legal Status:","Total"

"Area","mnemonic","Micro (0 to 9)","Small (10 to 49)","Medium-sized (50 to 249)","Large (250+)"

"ualad09:Manchester","E08000003",19880,2185,440,125
"msoa2011:Bolton 034","E02001017",235,30,5,5
"msoa2011:Bury 004","E02001022",180,10,5,0
"msoa2011:Bury 005","E02001023",115,5,5,0
"msoa2011:Bury 007","E02001025",610,45,5,0
"msoa2011:Bury 008","E02001026",995,85,15,0
"msoa2011:Bury 009","E02001027",215,30,5,0
"msoa2011:Bury 011","E02001029",305,50,15,5
"msoa2011:Bury 013","E02001031",355,35,10,5
"msoa2011:Bury 014","E02001032",120,10,0,0
"msoa2011:Bury 015","E02001033",140,25,5,0
"msoa2011:Bury 016","E02001034",300,30,5,0
"msoa2011:Bury 017","E02001035",220,10,0,0
"msoa2011:Bury 018","E02001036",155,10,0,0
"msoa2011:Bury 019","E02001037",320,30,5,0
"msoa2011:Bury 020","E02001038",490,60,5,0
"msoa2011:Bury 021","E02001039",115,10,0,0
"msoa2011:Bury 022","E02001040",180,5,0,0
"msoa2011:Bury 023","E02001041",200,25,0,0
"msoa2011:Bury 024","E02001042",505,30,0,0
"msoa2011:Bury 025","E02001043",110,5,0,0
"msoa2011:Bury 026","E02001044",605,40,5,0
"msoa2011:Cheshire East 002","E02003854",215,15,0,0
"msoa2011:Cheshire East 003","E02003855",300,30,0,0
"msoa2011:Cheshire East 004","E02003856",460,70,10,5
"msoa2011:Cheshire East 005","E02003857",260,5,0,0
"msoa2011:Cheshire East 006","E02003858",795,85,10,5
"msoa2011:Cheshire East 007","E02003859",1010,95,10,0
"msoa2011:Cheshire East 008","E02003860",380,15,0,0
"msoa2011:Cheshire East 011","E02003862",445,35,10,5
"msoa2011:Manchester 001","E02001045",115,5,0,0
"msoa2011:Manchester 002","E02001046",175,5,5,0
"msoa2011:Manchester 003","E02001047",145,10,0,0
"msoa2011:Manchester 004","E02001048",180,10,0,0
"msoa2011:Manchester 005","E02001049",155,5,5,0
"msoa2011:Manchester 006","E02001050",120,10,0,0
"msoa2011:Manchester 007","E02001051",400,10,0,0
"msoa2011:Manchester 008","E02001052",570,30,5,0
"msoa2011:Manchester 009","E02001053",185,10,0,0
"msoa2011:Manchester 011","E02001055",240,45,15,0
"msoa2011:Manchester 012","E02001056",95,5,5,0
"msoa2011:Manchester 013","E02001057",330,35,5,0
"msoa2011:Manchester 015","E02001059",245,50,10,5
"msoa2011:Manchester 017","E02001061",200,40,5,0
"msoa2011:Manchester 018","E02001062",610,120,20,5
"msoa2011:Manchester 019","E02001063",185,40,10,5
"msoa2011:Manchester 020","E02001064",200,25,5,0
"msoa2011:Manchester 021","E02001065",125,5,0,0
"msoa2011:Manchester 022","E02001066",240,20,0,0
"msoa2011:Manchester 023","E02001067",160,5,0,0
"msoa2011:Manchester 024","E02001068",115,10,0,0
"msoa2011:Manchester 025","E02001069",215,15,5,0
"msoa2011:Manchester 026","E02001070",205,20,0,0
"msoa2011:Manchester 027","E02001071",350,25,5,0
"msoa2011:Manchester 028","E02001072",215,10,0,0
"msoa2011:Manchester 029","E02001073",350,35,5,0
"msoa2011:Manchester 030","E02001074",250,10,5,0
"msoa2011:Manchester 031","E02001075",255,20,0,0
"msoa2011:Manchester 032","E02001076",125,15,5,0
"msoa2011:Manchester 033","E02001077",295,15,0,0
"msoa2011:Manchester 034","E02001078",240,10,0,0
"msoa2011:Manchester 035","E02001079",125,5,0,0
"msoa2011:Manchester 036","E02001080",100,10,0,0
"msoa2011:Manchester 037","E02001081",235,20,0,0
"msoa2011:Manchester 038","E02001082",230,20,0,5
"msoa2011:Manchester 039","E02001083",240,30,5,0
"msoa2011:Manchester 040","E02001084",235,10,0,0
"msoa2011:Manchester 041","E02001085",115,5,0,0
"msoa2011:Manchester 042","E02001086",175,15,5,5
"msoa2011:Manchester 043","E02001087",460,45,0,0
"msoa2011:Manchester 044","E02001088",115,5,0,0
"msoa2011:Manchester 045","E02001089",365,35,10,0
"msoa2011:Manchester 046","E02001090",260,40,10,0
"msoa2011:Manchester 047","E02001091",150,5,5,0
"msoa2011:Manchester 048","E02001092",110,5,0,0
"msoa2011:Manchester 049","E02001093",145,20,10,0
"msoa2011:Manchester 050","E02001094",85,10,5,0
"msoa2011:Manchester 051","E02001095",150,35,10,5
"msoa2011:Manchester 052","E02001096",180,40,15,5
"msoa2011:Manchester 053","E02001097",175,35,15,5
