InputID,TargetID,Distance
Bolton 034,Manchester 060,10391.9989953786
Bolton 034,Salford 028,9162.08469778936
Bolton 034,Manchester 018,12592.8024555285
Bolton 034,Manchester 054,10535.7067591873
Bolton 034,Tameside 013,18237.096081817
Bolton 034,Manchester 053,20695.6795015091
Bolton 034,Manchester 055,11335.7298115144
Bolton 034,Stockport 014,20080.5919340283
Bolton 034,Trafford 002,8231.30034010022
Bury 004,Manchester 060,16142.7400829808
Bury 004,Salford 028,16100.8072115605
Bury 004,Manchester 018,17423.9738901475
Bury 004,Manchester 054,15231.0432794017
Bury 004,Tameside 013,19413.3726730119
Bury 004,Manchester 053,28696.8208435093
Bury 004,Manchester 055,16208.7999536073
Bury 004,Stockport 014,24776.3213461711
Bury 004,Trafford 002,17095.6293514384
Bury 005,Manchester 060,15407.5072630232
Bury 005,Salford 028,15200.5976323207
Bury 005,Manchester 018,16848.9121639255
Bury 005,Manchester 054,14619.2476340298
Bury 005,Tameside 013,19423.9616502723
Bury 005,Manchester 053,27756.6589147933
Bury 005,Manchester 055,15598.943350018
Bury 005,Stockport 014,24330.4211181282
Bury 005,Trafford 002,15937.9937334126
Bury 007,Manchester 060,14181.9374546947
Bury 007,Salford 028,14356.3460388152
Bury 007,Manchester 018,15288.3585419321
Bury 007,Manchester 054,13145.4844980214
Bury 007,Tameside 013,16968.8918182837
Bury 007,Manchester 053,26937.0344604739
Bury 007,Manchester 055,14113.7270870851
Bury 007,Stockport 014,22513.0860698142
Bury 007,Trafford 002,15795.7499746296
Bury 008,Manchester 060,13449.5048444014
Bury 008,Salford 028,13421.1614784322
Bury 008,Manchester 018,14764.6291987149
Bury 008,Manchester 054,12558.8210322726
Bury 008,Tameside 013,17171.5768574546
Bury 008,Manchester 053,26020.9056479636
Bury 008,Manchester 055,13537.8948206036
Bury 008,Stockport 014,22176.389308129
Bury 008,Trafford 002,14564.6262591593
Bury 009,Manchester 060,13638.3040548573
Bury 009,Salford 028,13346.7471987564
Bury 009,Manchester 018,15180.0395708644
Bury 009,Manchester 054,12934.4260999452
Bury 009,Tameside 013,18260.6365474909
Bury 009,Manchester 053,25877.6917140109
Bury 009,Manchester 055,13910.7473343739
Bury 009,Stockport 014,22734.0134130316
Bury 009,Trafford 002,14026.0170117058
Bury 011,Manchester 060,12690.1280587876
Bury 011,Salford 028,12535.092417541
Bury 011,Manchester 018,14134.0455087007
Bury 011,Manchester 054,11900.7804072452
Bury 011,Tameside 013,17029.0872907554
Bury 011,Manchester 053,25118.5955611305
Bury 011,Manchester 055,12880.2173163416
Bury 011,Stockport 014,21640.6014007113
Bury 011,Trafford 002,13510.4954548201
Bury 013,Manchester 060,11193.3653985921
Bury 013,Salford 028,11218.7922654904
Bury 013,Manchester 018,12514.2415248091
Bury 013,Manchester 054,10302.3592039721
Bury 013,Tameside 013,15276.8056826172
Bury 013,Manchester 053,23817.7014515207
Bury 013,Manchester 055,11281.8342987978
Bury 013,Stockport 014,19961.8364413882
Bury 013,Trafford 002,12593.2482288343
Bury 014,Manchester 060,12135.869105946
Bury 014,Salford 028,11575.8215238733
Bury 014,Manchester 018,13912.8933600351
Bury 014,Manchester 054,11664.2789198946
Bury 014,Tameside 013,17903.8181151437
Bury 014,Manchester 053,23953.1291908577
Bury 014,Manchester 055,12615.7780924858
Bury 014,Stockport 014,21556.2704281832
Bury 014,Trafford 002,11869.2759191557
Bury 015,Manchester 060,10945.4104161765
Bury 015,Salford 028,10571.5676158272
Bury 015,Manchester 018,12607.5032677779
Bury 015,Manchester 054,10354.0406068501
Bury 015,Tameside 013,16387.7787916208
Bury 015,Manchester 053,23090.6713322736
Bury 015,Manchester 055,11319.4599967166
Bury 015,Stockport 014,20225.9159455084
Bury 015,Trafford 002,11305.3835644691
Bury 016,Manchester 060,10993.9111331271
Bury 016,Salford 028,10334.1231954104
Bury 016,Manchester 018,12861.3226303235
Bury 016,Manchester 054,10627.6709706181
Bury 016,Tameside 013,17265.2855223365
Bury 016,Manchester 053,22653.6006776028
Bury 016,Manchester 055,11560.3266528589
Bury 016,Stockport 014,20513.3953592597
Bury 016,Trafford 002,10542.5777919113
Bury 017,Manchester 060,9726.47218257005
Bury 017,Salford 028,9944.8402813094
Bury 017,Manchester 018,10917.3225461879
Bury 017,Manchester 054,8734.10877297108
Bury 017,Tameside 013,13616.0537815463
Bury 017,Manchester 053,22498.1786417159
Bury 017,Manchester 055,9709.58533473403
Bury 017,Stockport 014,18305.7962741503
Bury 017,Trafford 002,11725.6304443791
Bury 018,Manchester 060,10373.8467288881
Bury 018,Salford 028,9585.54724988734
Bury 018,Manchester 018,12335.8602432082
Bury 018,Manchester 054,10129.7339890193
Bury 018,Tameside 013,17111.9586104911
Bury 018,Manchester 053,21798.7640469111
Bury 018,Manchester 055,11036.5838300691
Bury 018,Stockport 014,19977.5400272759
Bury 018,Trafford 002,9613.04114883884
Bury 019,Manchester 060,8709.30367320931
Bury 019,Salford 028,8075.89610810285
Bury 019,Manchester 018,10611.5298790756
Bury 019,Manchester 054,8392.63854458423
Bury 019,Tameside 013,15402.7197828048
Bury 019,Manchester 053,20490.2700500182
Bury 019,Manchester 055,9310.70025254421
Bury 019,Stockport 014,18260.6694800717
Bury 019,Trafford 002,8622.43923405485
Bury 020,Manchester 060,8404.97335770301
Bury 020,Salford 028,8156.82548401297
Bury 020,Manchester 018,10049.5669619468
Bury 020,Manchester 054,7796.23618651435
Bury 020,Tameside 013,14187.4753766659
Bury 020,Manchester 053,20742.8445975576
Bury 020,Manchester 055,8760.16805695413
Bury 020,Stockport 014,17675.4190155147
Bury 020,Trafford 002,9385.90445368282
Bury 021,Manchester 060,8316.07303549999
Bury 021,Salford 028,8339.40458855546
Bury 021,Manchester 018,9745.93205724379
Bury 021,Manchester 054,7506.44424666137
Bury 021,Tameside 013,13364.0617394156
Bury 021,Manchester 053,20932.4602179441
Bury 021,Manchester 055,8485.18976589872
Bury 021,Stockport 014,17297.0324161185
Bury 021,Trafford 002,9981.9804413054
Bury 022,Manchester 060,7778.81801622656
Bury 022,Salford 028,8091.43616882007
Bury 022,Manchester 018,8975.89821428102
Bury 022,Manchester 054,6781.4006420676
Bury 022,Tameside 013,12186.201735477
Bury 022,Manchester 053,20593.1936877882
Bury 022,Manchester 055,7758.28347273075
Bury 022,Stockport 014,16419.3460274016
Bury 022,Trafford 002,10186.5969607089
Bury 023,Manchester 060,6356.77440741994
Bury 023,Salford 028,6434.26662859317
Bury 023,Manchester 018,7858.9563071625
Bury 023,Manchester 054,5607.62330325607
Bury 023,Tameside 013,12138.7289538193
Bury 023,Manchester 053,19005.0029471883
Bury 023,Manchester 055,6580.71737092267
Bury 023,Stockport 014,15463.7837443385
Bury 023,Trafford 002,8430.65180165312
Bury 024,Manchester 060,5997.49011276393
Bury 024,Salford 028,5877.76401836473
Bury 024,Manchester 018,7677.38363163177
Bury 024,Manchester 054,5429.18475635681
Bury 024,Tameside 013,12423.8822841359
Bury 024,Manchester 053,18475.8552420174
Bury 024,Manchester 055,6380.94580472
Bury 024,Stockport 014,15322.1037968283
Bury 024,Trafford 002,7701.96728470382
Bury 025,Manchester 060,6273.00933324502
Bury 025,Salford 028,5758.29084084
Bury 025,Manchester 018,8194.25842162237
Bury 025,Manchester 054,5996.37190628021
Bury 025,Tameside 013,13424.4503082057
