Geocode,Zone,borough,Label,emp_flow,xcoord,ycoord
E02001017,Bolton 034,Bolton,Bolton,"858",375791.203462745,404841.744557227
E02001022,Bury 004,Bury,,"607",380583.080914614,413604.032962037
E02001023,Bury 005,Bury,,"335",379450.11049252,412607.096496665
E02001025,Bury 007,Bury,,"2654",382288.947065821,411842.159923985
E02001026,Bury 008,Bury,,"4650",380962.17919713,410937.171888979
E02001027,Bury 009,Bury,,"1113",379241.065263875,410707.161825605
E02001029,Bury 011,Bury,,"3084",380271.667764521,410013.416523688
E02001031,Bury 013,Bury,,"3183",381481.715572997,408738.468508292
E02001032,Bury 014,Bury,,"265",378096.179504309,408644.338151894
E02001033,Bury 015,Bury,Bury,"808",379442.12101411,407928.295539189
E02001034,Bury 016,Bury,,"1254",378018.399221921,407320.384325061
E02001035,Bury 017,Bury,,"463",382513.026428927,407392.246542946
E02001036,Bury 018,Bury,,"570",377691.864043583,406401.87263617
E02001037,Bury 019,Bury,,"743",379041.119756918,405275.685451143
E02001038,Bury 020,Bury,,"1346",380606.48390091,405649.594284498
E02001039,Bury 021,Bury,,"364",381690.965295748,405852.528062476
E02001040,Bury 022,Bury,,"1787",382845.582488715,405464.843438684
E02001041,Bury 023,Bury,,"661",382008.662075951,403918.180588789
E02001042,Bury 024,Bury,,"1260",381463.021301991,403398.762244467
E02001043,Bury 025,Bury,,"396",380311.725312347,403196.041534862
E02001044,Bury 026,Bury,,"814",382702.329950102,402942.552827176
E02001045,Manchester 001,Manchester,,"912",385237.246349253,404373.908056608
E02001046,Manchester 002,Manchester,,"884",385947.230496835,403294.794053517
E02001047,Manchester 003,Manchester,,"735",387626.057093912,403091.016105581
E02001048,Manchester 004,Manchester,,"397",383594.135370149,403812.623200089
E02001049,Manchester 005,Manchester,,"586",388572.734191709,402098.603633755
E02001050,Manchester 006,Manchester,,"3837",385598.035617875,402163.019324103
E02001051,Manchester 007,Manchester,,"916",387214.250621658,401868.558857784
E02001052,Manchester 008,Manchester,,"2044",384519.528676315,401606.607143886
E02001053,Manchester 009,Manchester,,"1314",386265.384664515,400875.527179912
E02001055,Manchester 011,Manchester,,"3084",387710.526601638,400121.668636734
E02001056,Manchester 012,Manchester,,"765",388351.456855041,399148.543022411
E02001057,Manchester 013,Manchester,,"1940",385912.037345299,398759.108100992
E02001059,Manchester 015,Manchester,,"4875",387374.109718312,398143.817401091
E02001061,Manchester 017,Manchester,,"2362",388936.742536751,397126.785210914
E02001062,Manchester 018,Manchester,,"9866",385570.92676938,396916.422188623
E02001063,Manchester 019,Manchester,,"4788",383961.816491462,396294.485919442
E02001064,Manchester 020,Manchester,,"3288",387290.063802703,396397.761912285
E02001065,Manchester 021,Manchester,,"559",389564.533669522,396242.460706056
E02001066,Manchester 022,Manchester,Manchester,"7369",386028.214120697,395721.571948424
E02001067,Manchester 023,Manchester,,"667",388413.838164287,395471.800581929
E02001068,Manchester 024,Manchester,,"785",383645.727966474,395374.67338983
E02001069,Manchester 025,Manchester,,"1252",384740.81745899,395230.903064973
E02001070,Manchester 026,Manchester,,"2226",385919.844994229,394959.656107241
E02001071,Manchester 027,Manchester,,"915",387666.550859206,394846.522171509
E02001072,Manchester 028,Manchester,,"730",382746.176467194,394926.51233641
E02001073,Manchester 029,Manchester,,"1967",381607.082965596,394310.532681565
E02001074,Manchester 030,Manchester,,"1106",384086.818598353,394323.190178857
E02001075,Manchester 031,Manchester,,"1130",387733.729091593,394021.431218687
E02001076,Manchester 032,Manchester,,"1233",385699.662647986,394051.360584306
E02001077,Manchester 033,Manchester,,"1099",382290.42856659,393598.041078285
E02001078,Manchester 034,Manchester,,"765",387081.40768001,393381.082563601
E02001079,Manchester 035,Manchester,,"452",383929.136702503,393404.603619592
E02001080,Manchester 036,Manchester,,"815",385831.189380543,393224.516301302
E02001081,Manchester 037,Manchester,,"452",381350.388462278,392954.488096455
E02001082,Manchester 038,Manchester,,"2536",384521.666100307,392624.844582627
E02001083,Manchester 039,Manchester,,"2326",383476.224143621,392476.330021051
E02001084,Manchester 040,Manchester,,"733",385344.155857874,392238.896840909
E02001085,Manchester 041,Manchester,,"973",386494.845656438,392338.578669768
E02001086,Manchester 042,Manchester,,"1204",382830.711325775,391902.54954472
E02001087,Manchester 043,Manchester,,"1441",384365.692868212,391120.898600672
